Temperature(°),W12(um),W34(um),W58(um),W6(um),W7(um),Idc(uA),Length(um),Gain(db),Bandwidth(Hz),GBW(MHz),Power(uW),PM(degree),GM(dB),PSRR(dB),SlewRate (V/us),CMRR,Class
-40,8,30,18,30,30,130,0.18,52.2662,25126,28.5279,2145.86,64.1203,8.36547,48.3298,6.8029,60.292,0
-40,8.06,30,18,30,30,130,0.18,52.2797,25164.4,28.8229,2146.22,64.033,8.33865,48.3443,6.8051,60.3046,0
-40,8.11,30,18,30,30,130,0.18,52.293,25202.4,29.1187,2146.58,63.9462,8.31209,48.3586,6.8073,60.317,0
-40,8.17,30,18,30,30,130,0.18,52.3062,25240.1,29.4119,2146.94,63.86,8.28579,48.3727,6.8095,60.3294,0
-40,8.22,30,18,30,30,130,0.18,52.3193,25277.5,29.7046,2147.29,63.7743,8.25975,48.3867,6.8117,60.3415,0
-40,8.28,30,18,30,30,130,0.18,52.3322,25314.6,29.9956,2147.64,63.6891,8.23396,48.4005,6.814,60.3536,0
-40,8.33,30,18,30,30,130,0.18,52.345,25351.4,30.2848,2147.98,63.6044,8.20842,48.4142,6.8163,60.3655,0
-40,8.39,30,18,30,30,130,0.18,52.3577,25387.9,30.5736,2148.32,63.5203,8.18312,48.4277,6.8187,60.3773,0
-40,8.44,30,18,30,30,130,0.18,52.3702,25424,30.8596,2148.66,63.4366,8.15807,48.4411,6.821,60.389,0
-40,8.5,30,18,30,30,130,0.18,52.3826,25459.9,31.1453,2149,63.3534,8.13324,48.4543,6.8226,60.4006,0
-40,8.55,30,18,30,30,130,0.18,52.3948,25495.5,31.4288,2149.33,63.2708,8.10866,48.4674,6.8238,60.412,0
-40,8.61,30,18,30,30,130,0.18,52.407,25530.8,31.7105,2149.66,63.1887,8.08432,48.4804,6.825,60.4234,0
-40,8.66,30,18,30,30,130,0.18,52.419,25565.8,31.9914,2149.99,63.1087,8.06068,48.4932,6.8262,60.4346,0
-40,8.72,30,18,30,30,130,0.18,52.4308,25600.5,32.2696,2150.31,63.029,8.03723,48.5059,6.8275,60.4457,0
-40,8.77,30,18,30,30,130,0.18,52.4426,25635,32.5469,2150.63,62.9498,8.01397,48.5185,6.8246,60.4566,0
-40,8.83,30,18,30,30,130,0.18,52.4542,25669.2,32.8224,2150.95,62.8709,7.99091,48.531,6.8261,60.4675,0
-40,8.88,30,18,30,30,130,0.18,52.4658,25703.1,33.0953,2151.27,62.7925,7.96803,48.5433,6.8276,60.4783,0
-40,8.94,30,18,30,30,130,0.18,52.4772,25737.1,33.3677,2151.58,62.7144,7.94534,48.5555,6.8291,60.4889,0
-40,8.99,30,18,30,30,130,0.18,52.4885,25770.9,33.6378,2151.89,62.6368,7.92284,48.5675,6.8306,60.4995,0
-40,9.05,30,18,30,30,130,0.18,52.4996,25804.4,33.9056,2152.2,62.5596,7.90052,48.5795,6.832,60.5099,0
-40,9.1,30,18,30,30,130,0.18,52.5107,25837.6,34.1727,2152.5,62.4827,7.8784,48.5913,6.8335,60.5203,0
-40,9.16,30,18,30,30,130,0.18,52.5217,25870.6,34.4375,2152.8,62.4063,7.85646,48.603,6.8355,60.5305,0
-40,9.21,30,18,30,30,130,0.18,52.5325,25903.3,34.7,2153.1,62.3303,7.83471,48.6146,6.8369,60.5406,0
